"","nuts_2","nuts_1","country","trade_center","trade_center_1","trade_center_2","num_trade_centers","num_trade_centers_1","num_trade_centers_2","capital","education","catholics","latitude","longitude","mountain","border_region","university_1500","coast_region","printingpress_pre1500","hanse","imperial","agri","altitude","dist_border","dist_coast","dist_trade","east_germany","bishop","mining","eqi100","residence","trade_year","Region","GDP_1900","GDP_1910","GDP_1925","GDP_1938","GDP_1950","GDP_1960","GDP_1970","GDP_1980","GDP_1990","GDP_2000","GDP_2010","GDP_2015","GDP_11_1900","GDP_11_1910","GDP_11_1925","GDP_11_1938","GDP_11_1950","GDP_11_1960","GDP_11_1970","GDP_11_1980","GDP_11_1990","GDP_11_2000","GDP_11_2010","GDP_11_2015","AREA","POP_1900","POP_1910","POP_1925","POP_1938","POP_1950","POP_1960","POP_1970","POP_1980","POP_1990","POP_2000","POP_2010","POP_2015","AGSH_1900","AGSH_1910","AGSH_1925","AGSH_1938","AGSH_1950","AGSH_1960","AGSH_1970","AGSH_1980","AGSH_1990","AGSH_2000","AGSH_2010","AGSH_2015","INDSH_1900","INDSH_1910","INDSH_1925","INDSH_1938","INDSH_1950","INDSH_1960","INDSH_1970","INDSH_1980","INDSH_1990","INDSH_2000","INDSH_2010","INDSH_2015","SERSH_1900","SERSH_1910","SERSH_1925","SERSH_1938","SERSH_1950","SERSH_1960","SERSH_1970","SERSH_1980","SERSH_1990","SERSH_2000","SERSH_2010","SERSH_2015"
"11","BE22","BRU","Belgium",0,0,0,0,0,0,0,28.6,73.6669998168945,50.9777323404948,5.44919983545939,0,1,0,0,0,0,0,1.51966666692993,53.5666669209798,0.18620441108942,1.03796182076136,0.443838159243266,0,0,0,81.5500030517578,0,0,"Limburg","602","723","979","1269","1805","2613",5088,8268,10984,13773,16170,17007,"965","1229","1218","1480","2311","3434",7551,12593,15140,22278,26490,29139,2422,"245","276","342","408","483","566",653,712,749,792,842,859,"0,544","0,489","0,405","0,33","0,204",0.119,0.052,0.035,0.038,0.032,0.022,"0,021","0,195","0,265","0,321","0,353","0,473",0.495,0.551,0.468,0.343,0.317,0.251,"0,23","0,261","0,246","0,274","0,317","0,323",0.386,0.397,0.497,0.619,0.652,0.727,"0,749"
"12","BE23","BRU","Belgium",1,1,0,0.166666666666667,0.166666666666667,0,0,33.8,73.6669998168945,51.0409469604492,3.83994336922964,0,1,0,1,1,0,0,1.31400000666508,23.8833338419596,0.200145988414685,0.120569419736664,0,0,0,0,81.5500030517578,0,9,"East-Flanders","3214","3785","4427","4891","5634","6990",11420,15197,19895,24427,30543,32207,"5152","6435","5505","5702","7212","9187",16946,23146,27424,39510,50037,55182,2982,"1035","1120","1142","1192","1229","1268",1310,1330,1337,1362,1439,1476,"0,361","0,293","0,242","0,208","0,155",0.111,0.065,0.051,0.032,0.027,0.018,"0,014","0,364","0,449","0,441","0,424","0,487",0.511,0.521,0.404,0.312,0.281,0.237,"0,222","0,275","0,258","0,317","0,368","0,358",0.378,0.414,0.546,0.656,0.693,0.745,"0,763"
"13","BE25","BRU","Belgium",1,1,0,0.125,0.125,0,0,29.5,73.6669998168945,51.0023698806763,3.03980395197868,0,1,0,1,1,0,0,1.27674999747353,15.7374995825812,0.139936364255845,0.245725408196449,0,0,0,0,81.5500030517578,0,7,"West-Flanders","2023","2466","3273","3963","4193","5831",9692,14663,17786,21853,25667,27075,"3244","4193","4070","4621","5368","7665",14382,22334,24518,35346,42048,46389,3144,"807","874","895","962","1012","1064",1054,1078,1106,1129,1162,1178,"0,419","0,354","0,261","0,213","0,169",0.12,0.076,0.061,0.048,0.04,0.028,"0,024","0,267","0,362","0,374","0,388","0,45",0.479,0.497,0.444,0.321,0.299,0.26,"0,242","0,315","0,284","0,366","0,399","0,381",0.401,0.427,0.495,0.631,0.66,0.713,"0,734"
"14","BE32","BRU","Belgium",0,0,0,0,0,0,0,24,73.6669998168945,50.5302467346191,3.80521249771118,0,1,0,0,0,0,0,1.60028572045421,78.8000011444092,0.132214054930955,0.523812672921589,0.644875100680761,0,1,0,60.8899993896484,1,0,"Hainaut","5158","5911","5780","5735","6300","7368",11115,14576,15705,17558,20020,20367,"8268","10051","7188","6687","8066","9684",16494,22201,21649,28400,32798,34896,3786,"1137","1233","1261","1244","1230","1247",1317,1302,1283,1281,1314,1335,"0,178","0,142","0,108","0,1","0,084",0.068,0.042,0.035,0.025,0.02,0.014,"0,013","0,571","0,618","0,589","0,543","0,581",0.548,0.499,0.368,0.259,0.17,0.207,"0,187","0,25","0,24","0,303","0,357","0,335",0.383,0.459,0.596,0.715,0.81,0.779,"0,8"
"15","BE33","BRU","Belgium",0,0,0,0,0,0,0,30.4,73.6669998168945,50.5199653625488,5.66163244247436,0,1,0,0,1,0,0,1.59760000415687,297.979998779297,0.272358354926109,1.35952700376511,0.500069928169251,0,1,0,60.8899993896484,0,0,"Liege","3648","4320","4877","5069","5773","7376",10643,14038,14249,15843,18737,18695,"5847","7345","6065","5910","7391","9695",15793,21381,19641,25625,30695,32031,3862,"837","888","951","971","972","1001",1009,1000,1003,1020,1072,1096,"0,157","0,117","0,113","0,113","0,092",0.07,0.046,0.034,0.023,0.018,0.012,"0,011","0,559","0,606","0,549","0,501","0,543",0.531,0.462,0.367,0.262,0.231,0.207,"0,196","0,285","0,277","0,338","0,386","0,364",0.399,0.493,0.599,0.715,0.751,0.781,"0,793"
"16","BE34","BRU","Belgium",0,0,0,0,0,0,0,32.3,73.6669998168945,49.9162681579589,5.55554666519165,0,1,0,0,0,0,0,1.54160000307483,362.7,0.169587423652411,1.63044590950012,1.01410856246948,0,0,0,60.8899993896484,0,0,"Luxembourg (region)","797","829","685","656","861","1028",1445,2202,3029,3623,4363,4200,"1278","1409","852","765","1102","1351",2144,3354,4175,5860,7148,7196,4440,"220","231","223","222","214","217",217,222,233,248,270,280,"0,542","0,461","0,437","0,406","0,358",0.281,0.174,0.12,0.078,0.06,0.042,"0,039","0,206","0,262","0,206","0,198","0,226",0.267,0.292,0.216,0.199,0.204,0.198,"0,187","0,252","0,278","0,357","0,396","0,417",0.452,0.534,0.664,0.723,0.736,0.76,"0,774"
"17","BE35","BRU","Belgium",0,0,0,0,0,0,0,31.5,73.6669998168945,50.2297922770182,4.80121262868246,0,1,0,0,0,0,0,1.62500000047869,199.233337402344,0.175289615988732,0.945948680241904,1.09079678853353,0,0,0,60.8899993896484,0,0,"Namur","1446","1562","1391","1388","1680","2128",3091,4461,5389,6390,7957,7919,"2318","2656","1730","1618","2151","2797",4586,6794,7429,10336,13035,13568,3666,"351","363","358","356","359","368",381,405,423,445,475,488,"0,319","0,237","0,206","0,19","0,169",0.132,0.08,0.057,0.04,0.032,0.021,"0,02","0,39","0,465","0,401","0,369","0,396",0.396,0.389,0.274,0.184,0.173,0.154,"0,146","0,291","0,297","0,393","0,442","0,435",0.472,0.531,0.669,0.776,0.795,0.825,"0,834"
"18","DE11","DE1","Germany",0,0,0,0,0,0,0,30.3,31.7900009155273,48.9588317871094,9.51223388084998,1,0,0,0,1,0,1,1.89715385881746,364.323071993314,1.14582917323479,4.26190319428077,0.779242378014785,0,0,0,83.9400024414062,1,0,"Stuttgart, Regierungsbezirk","3974","5522","6202","9751","11939","28830",45739,60694,78337,92665,100358,114107,"4842","7286","6508","11962","16949","45888",72111,94303,122785,166144,200197,244566,10558,"1313","1494","1686","1860","2435","3038",3496,3459,3717,3874,3902,4032,"0,411","0,391","0,375","0,295","0,219",0.129,0.067,0.042,0.029,0.016,0.012,"0,01","0,36","0,392","0,407","0,455","0,49",0.556,0.574,0.505,0.462,0.366,0.324,"0,327","0,23","0,217","0,218","0,25","0,291",0.314,0.359,0.452,0.509,0.619,0.665,"0,663"
"19","DE12","DE1","Germany",0,0,0,0,0,0,0,29.3,31.7900009155273,49.025595664978,8.58567015329997,1,1,1,0,1,0,0,1.65550000630318,297.016665776571,0.480963324972739,4.22056625286738,0.840423703193664,0,0,0,83.9400024414062,0,0,"Karlsruhe, Regierungsbezirk","3579","5397","5776","8357","9286","19345",32973,40031,51668,57966,62894,66673,"4360","7121","6061","10252","13182","30790",51983,62199,80983,103931,125462,142900,6919,"840","1048","1194","1317","1473","1697",1910,2380,2558,2646,2673,2738,"0,339","0,289","0,28","0,23","0,194",0.117,0.044,0.033,0.021,0.009,0.007,"0,006","0,4","0,442","0,438","0,521","0,459",0.511,0.53,0.457,0.4,0.321,0.281,"0,273","0,261","0,268","0,283","0,249","0,348",0.372,0.426,0.509,0.579,0.67,0.713,"0,721"
"20","DE13","DE1","Germany",1,1,0,0.1,0.1,0,0,27.2,31.7900009155273,47.9928050994873,8.2306670665741,1,1,0,0,1,0,1,1.53849999158819,571.440005493164,0.225971750915051,3.62353055477142,0,0,1,0,83.9400024414062,1,6,"Freiburg, Regierungsbezirk","2779","3772","3435","5871","5930","10930",18683,26793,33073,40122,43765,46466,"3385","4977","3604","7201","8418","17397",29455,41630,51838,71937,87303,99590,9357,"903","1027","1118","1234","1339","1626",1868,1851,1992,2102,2142,2205,"0,504","0,49","0,46","0,338","0,34",0.212,0.107,0.076,0.049,0.023,0.017,"0,015","0,301","0,316","0,336","0,341","0,379",0.467,0.503,0.452,0.41,0.352,0.317,"0,312","0,195","0,195","0,204","0,321","0,281",0.322,0.39,0.472,0.541,0.625,0.666,"0,674"
"21","DE14","DE1","Germany",1,1,1,0.222222222222222,0.222222222222222,0.111111111111111,0,29.3,31.7900009155273,48.1818656921387,9.46944257948134,1,1,1,0,1,0,1,1.56499998263919,620.711113823785,0.545642007556227,3.7713606622484,0,0,0,0,83.9400024414062,1,13,"Tübingen, Regierungsbezirk","2124","2836","2877","4541","5101","8698",15273,21671,28746,34801,39479,42403,"2588","3742","3019","5570","7241","13845",24079,33672,45057,62396,78753,90883,8918,"799","895","966","1066","1184","1398",1622,1499,1637,1737,1763,1806,"0,532","0,522","0,507","0,412","0,348",0.213,0.115,0.079,0.05,0.029,0.022,"0,019","0,309","0,327","0,346","0,393","0,433",0.533,0.564,0.476,0.435,0.363,0.334,"0,336","0,159","0,151","0,147","0,196","0,218",0.254,0.321,0.445,0.515,0.608,0.643,"0,645"
"22","DE21","DE2","Germany",0,0,0,0,0,0,0,33.4,31.7900009155273,48.1391304679539,11.6961159913436,1,1,1,0,1,0,0,1.70578261231772,548.565217391304,0.532675475610987,2.79858207702637,0.625518975050553,0,1,0,78.0899963378906,1,0,"Oberbayern, Regierungsbezirk","3898","4887","5869","9144","10681","23342",44526,67229,92511,109821,123170,141562,"4748","6447","6159","11216","15163","37152",70199,104458,145001,196904,245702,303409,17530,"1249","1467","1664","1816","2456","2755",3242,3643,3721,4034,4346,4547,"0,396","0,398","0,33","0,267","0,232",0.145,0.085,0.06,0.039,0.023,0.018,"0,015","0,291","0,276","0,329","0,332","0,364",0.417,0.433,0.355,0.318,0.249,0.215,"0,219","0,313","0,325","0,34","0,401","0,404",0.438,0.482,0.585,0.643,0.729,0.767,"0,766"
"23","DE22","DE2","Germany",0,0,0,0,0,0,0,21.6,31.7900009155273,48.7065846125285,12.7744170824687,1,1,0,0,1,0,0,1.57016667645999,425.408335367839,0.403768515214324,3.03084087371826,0.665270000696182,0,1,0,78.0899963378906,0,0,"Niederbayern, Regierungsbezirk","1426","1654","1434","2396","3944","4719",7937,11698,16463,20299,24318,25633,"1737","2182","1504","2939","5600","7512",12513,18176,25804,36395,48510,54939,10329,"682","711","756","825","1081","962",1012,997,1057,1170,1189,1205,"0,683","0,704","0,662","0,596","0,49",0.394,0.26,0.178,0.108,0.059,0.046,"0,038","0,17","0,163","0,191","0,209","0,295",0.356,0.424,0.392,0.402,0.359,0.331,"0,331","0,146","0,133","0,148","0,195","0,215",0.25,0.316,0.43,0.49,0.581,0.623,"0,632"
"24","DE23","DE2","Germany",1,1,1,0.2,0.1,0.1,0,21.7,31.7900009155273,49.4028690338135,12.0908705711365,0,1,0,0,1,0,1,1.38549999297927,421.850003051758,0.494920188188552,3.83177170753479,0,0,1,0,78.0899963378906,1,13,"Oberpfalz, Regierungsbezirk","1092","1448","1440","2115","3421","4997",8232,10709,14916,19818,23064,24534,"1330","1910","1511","2595","4857","7954",12979,16638,23379,35532,46009,52583,9690,"557","587","629","687","897","890",956,966,991,1074,1081,1089,"0,629","0,636","0,575","0,508","0,404",0.279,0.172,0.121,0.077,0.042,0.032,"0,025","0,217","0,215","0,252","0,269","0,34",0.429,0.468,0.402,0.395,0.35,0.333,"0,339","0,153","0,149","0,173","0,223","0,256",0.291,0.36,0.477,0.527,0.608,0.635,"0,635"
"25","DE24","DE2","Germany",0,0,0,0,0,0,0,25.2,31.7900009155273,50.0784058204064,11.3724228785588,1,1,0,0,1,0,0,1.31707691918165,439.830770639273,0.765744474071722,3.74931546357962,0.630286418474638,0,1,0,78.0899963378906,1,0,"Oberfranken, Regierungsbezirk","1525","2036","2275","3921","5067","7406",11252,13489,18004,18842,20709,21109,"1858","2687","2387","4810","7193","11788",17739,20958,28220,33783,41312,45244,7232,"674","736","758","827","1116","1087",1116,1052,1056,1114,1076,1062,"0,477","0,475","0,424","0,37","0,275",0.198,0.126,0.088,0.058,0.026,0.02,"0,017","0,358","0,362","0,411","0,42","0,478",0.537,0.557,0.488,0.454,0.375,0.323,"0,321","0,166","0,163","0,165","0,21","0,247",0.266,0.318,0.424,0.488,0.6,0.657,"0,662"
"26","DE25","DE2","Germany",1,1,1,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,26.7,31.7900009155273,49.3977632522583,10.8913815021515,0,0,0,0,1,0,1,1.48733333637888,356.066668192546,1.43662457664808,4.12320846319199,0,0,0,0,78.0899963378906,1,13,"Mittelfranken, Regierungsbezirk","2381","3445","3779","5521","5563","10771",17833,22994,30074,34415,37966,40868,"2900","4546","3966","6772","7897","17143",28114,35727,47138,61705,75735,87591,7245,"787","924","998","1089","1284","1374",1485,1518,1566,1683,1710,1726,"0,406","0,39","0,332","0,272","0,254",0.172,0.115,0.066,0.042,0.02,0.015,"0,012","0,367","0,386","0,426","0,437","0,43",0.491,0.508,0.431,0.39,0.316,0.279,"0,278","0,227","0,224","0,243","0,291","0,316",0.337,0.377,0.503,0.568,0.664,0.706,"0,71"
"27","DE26","DE2","Germany",0,0,0,0,0,0,0,26.1,31.7900009155273,49.9710048039754,9.90336219469707,0,0,0,0,1,0,1,1.6747500094916,249.433334350586,1.72111839056015,3.57535382111867,0.690613945325216,0,1,0,78.0899963378906,0,0,"Unterfranken, Regierungsbezirk","1473","2250","2332","3672","4194","6818",10959,14260,19423,24844,27411,28262,"1795","2969","2447","4505","5954","10852",17278,22157,30443,44544,54680,60573,8531,"657","715","763","832","1038","1090",1181,1193,1235,1334,1322,1307,"0,58","0,587","0,543","0,472","0,388",0.262,0.135,0.097,0.058,0.026,0.02,"0,017","0,221","0,218","0,263","0,283","0,355",0.441,0.499,0.423,0.399,0.341,0.306,"0,303","0,199","0,196","0,194","0,246","0,257",0.297,0.366,0.48,0.544,0.633,0.674,"0,68"
"28","DE27","DE2","Germany",1,1,1,0.0714285714285714,0.0714285714285714,0.0714285714285714,0,24,31.7900009155273,48.1286634717669,10.4726956912449,1,1,0,0,1,0,1,1.71257143022014,584.114288330078,0.586558607806053,3.3386709690094,0,0,1,0,78.0899963378906,1,13,"Schwaben, Regierungsbezirk","2148","2630","2653","4220","5538","9571",16225,20052,27053,32389,36933,39486,"2617","3470","2784","5176","7862","15234",25580,31155,42402,58073,73675,84629,9994,"754","825","880","960","1312","1358",1487,1529,1594,1746,1785,1832,"0,512","0,535","0,507","0,439","0,342",0.235,0.154,0.106,0.067,0.042,0.031,"0,025","0,284","0,275","0,302","0,318","0,392",0.461,0.485,0.416,0.402,0.344,0.315,"0,316","0,204","0,19","0,192","0,243","0,266",0.304,0.361,0.478,0.531,0.614,0.653,"0,659"
"29","DE30","DE3","Germany",1,1,1,1,1,1,1,35.4,31.7900009155273,52.5068702697754,13.4244012832642,0,0,0,0,0,1,0,1.24999999557394,37.2000007629395,0.774605810642242,1.57808065414429,0,0,0,0,83.9400024414062,0,6,"Berlin","11095","18322","22122","32741","13103","24782",35590,46250,41751,61987,67016,72674,"13517","24175","23212","40162","18602","39445",56110,71862,65440,111139,133685,155762,892,"2605","3632","4024","4322","3336","3269",3208,3051,3400,3387,3443,3491,"0,095","0,014","0,009","0,008","0,018",0.009,0.008,0.004,0.003,0.001,0,"0","0,468","0,537","0,509","0,475","0,491",0.508,0.45,0.347,0.343,0.177,0.125,"0,12","0,436","0,45","0,482","0,517","0,49",0.483,0.541,0.649,0.654,0.822,0.875,"0,88"
"30","DE40","DE4","Germany",1,1,1,0.0555555555555556,0.0555555555555556,0.0555555555555556,0,30.9222222222222,31.7900009155273,52.389845530192,13.4539355172051,0,1,1,0,0,1,0,1.35288888833786,62.7944451438056,0.793112312753995,1.66130958331956,0,1,1,1,83.8899993896484,1,10,"Brandenburg","4755","6335","6781","11955","8772","14229",19099,26403,19535,33350,37029,38218,"5793","8359","7116","14665","12454","22648",30111,41024,30619,59796,73866,81913,29484,"1729","1879","2049","2391","2746","2655",2660,2667,2602,2601,2512,2473,"0,319","0,26","0,407","0,309","0,341",0.252,0.185,0.145,0.147,0.032,0.029,"0,028","0,376","0,406","0,355","0,383","0,363",0.506,0.454,0.477,0.438,0.274,0.221,"0,221","0,305","0,334","0,238","0,307","0,296",0.242,0.361,0.378,0.415,0.693,0.75,"0,751"
"31","DE50","DE5","Germany",1,1,1,1,1,0.5,0,23.8,31.7900009155273,53.3329734802246,8.66088676452636,0,0,0,1,0,1,0,1.38049999638941,4.19999990612269,0.220292617566884,0.219224324449897,0,0,1,0,83.3300018310547,0,10,"Bremen","981","1345","2079","2883","2553","7199",10894,14093,15634,16898,17851,18490,"1195","1774","2181","3537","3624","11458",17175,21897,24505,30297,35609,39629,419,"222","298","411","445","559","706",723,695,674,663,662,666,"0,067","0,07","0,038","0,031","0,036",0.019,0.016,0.005,0.004,0.002,0.002,"0,001","0,426","0,425","0,395","0,459","0,416",0.415,0.378,0.333,0.294,0.239,0.192,"0,194","0,507","0,505","0,567","0,51","0,548",0.566,0.606,0.663,0.702,0.759,0.806,"0,805"
