STAT_LEVL_CODE;NUTS_ID;NUTS_NAME;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
2;AT11;Burgenland (AT);5058,676377;5655,821521;6174,376873;6394,788734;6805,481836;7167,907844;7734,857449;7979,298889;8914,72353;9792,075364;10902,35132;12166,67343;12516,90433;12717,48991;13602,60553;11956,28312;12660,84685;13664,49389;14646,04198;15263,11758;16752,47242;16867,0064;17896,11874;18377,44808;19544,2718;19775,45787;20309,36839;21253,5734;21063,3219;20521,5073;21435,04086;22329,41919;23893,95251;24169,89623;24747,44402;26092,58109;26361,82768;27129,66335;28226,60282;29342,77961;30373,78758;31476,83834
3;AT111;Mittelburgenland;4422,720501;4970,582289;5457,016435;5652,055769;6025,649516;6348,568071;6874,464318;7118,166375;7981,007432;8806,16274;9852,938139;11017,64644;11364,13196;11638,01864;12532,22305;10969,25243;11856,53022;12964,27281;13783,95766;13592,54536;15220,2227;15586,96342;15821,49743;17039,93437;17246,76941;17142,86094;18343,64243;18680,12042;17810,23494;17698,62137;17863,92675;18949,20804;19527,86781;20346,06402;21217,86539;22187,13806;22435,60826;23125,60769;24087,73557;25080,96478;26003,94257;26996,58184
3;AT112;Nordburgenland;5444,814651;6127,001576;6629,097808;6914,776349;7404,35819;7836,789968;8488,072558;8778,652062;9830,297583;10807,36887;12034,90583;13633,35839;14010,94341;14186,03018;15135,46518;13299,75874;13908,35871;14968,5274;16043,30951;16607,80514;18166,06724;18151,53947;19243,07329;19746,90665;21779,46514;22014,77935;22594,63183;23516,67905;23250,5972;22488,37556;23478,0092;24411,28865;26569,49067;27018,52668;27306,30537;28812,02448;29045,34448;29809,64412;30923,61937;32055,25488;33082,52701;34183,93889
3;AT113;Südburgenland;4817,852515;5320,790041;5853,024645;5994,215784;6311,54837;6591,883283;7057,173646;7234,033961;8034,843769;8789,584323;9754,888691;10649,40491;10949,80714;11135,98543;11914,56267;10480,96998;11236,41237;12107,08641;13007,69968;13998,11177;15323,13721;15516,55568;16755,4171;16908,79686;17169,16214;17500,32753;17683,92546;18873,57464;19025,64182;18631,50787;19697,97861;20437,82622;21451,51738;21214,93923;22098,59141;23303,06042;23591,82653;24370,33019;25449,9096;26557,54339;27597,97143;28712,78961
2;AT12;Niederösterreich;6383,587308;6959,904276;7719,390861;8197,173746;8804,865625;9277,722159;9889,056744;10193,6997;11147,42106;12190,26473;13487,25009;14744,34119;15167,20236;15174,28961;16203,01439;15231,84503;16110,81041;17357,07825;18453,89835;19158,44455;21072,48693;20801,42234;21476,38656;21955,64778;23378,41784;24005,69422;25189,76006;26585,48703;26825,96888;25403,19124;26161,79659;27311,40422;28598,98068;28658,55083;29432,71924;30807,44311;30793,30206;31111,68112;32036,56686;32834,76605;33634,64793;34448,83483
3;AT121;Mostviertel-Eisenwurzen;5956,676048;6471,968952;7106,904319;7500,474502;8025,046342;8432,844754;8964,630309;9224,007397;10070,04821;11019,10128;12229,67249;13456,67887;13933,36395;13996,65613;14966,93785;13888,91393;14793,36425;15930,95932;16988,60446;17659,64691;19584,52593;19414,85925;19587,78181;20178,3075;21311,38279;21970,30471;23423,10314;24878,30789;24978,76908;23414,33467;23919,44977;25308,66842;26857,67288;26871,67417;27494,22873;28951,69912;29362,12205;29731,21039;30869,61267;31762,68859;32742,36175;33682,12119
3;AT122;Niederösterreich-Süd;6247,696166;6805,996488;7615,841198;8067,331237;8639,023965;9069,855796;9628,948872;9880,272133;10752,53651;11680,8962;12821,46291;13734,24155;13953,81975;13856,74485;14701,3984;13370,19518;14157,47105;15336,83044;16526,61915;16959,64642;18619,18884;18710,7553;19259,55993;19752,69895;20583,7964;21461,72838;22195,73442;23681,53903;23668,77055;22127,76847;23177,57594;24022,70877;25399,32187;25559,86204;26614,8575;27468,24718;27231,65535;27551,34224;28298,8919;29011,95189;29681,18724;30398,65031
3;AT123;Sankt Pölten;7992,442426;8732,442306;9555,296227;10140,326;10880,8314;11451,21698;12190,60318;12551,94456;13711,12991;14968,74133;16520,94148;18212,91241;18698,00436;18716,77723;19996,90579;18726,46579;19688,66252;21331,54659;22565,07432;23169,30942;24886,91069;25219,8089;26221,93484;27353,18109;28036,20242;29465,27544;30691,66741;32380,91743;32731,571;31839,38171;33096,37099;34271,52969;35849,15878;36051,37702;36383,44933;39131,6561;39263,39175;39577,64755;40805,58921;41770,82012;42797,48103;43795,31325
3;AT124;Waldviertel;5869,15213;6381,133891;7066,314032;7460,858816;7985,371468;8386,266015;8915,058273;9160,007639;9985,888135;10907,28405;12079,09838;12489,79234;12875,58539;12856,43965;13643,21152;12790,06808;13429,62986;14340,10779;15431,47996;15949,611;17128,33049;17074,46955;17855,40226;18309,75864;19453,13186;19713,73107;20281,0293;21191,32171;21766,91444;20564,19517;21528,19123;22566,17868;23601,41747;23952,00883;24697,64482;25795,24496;26229,83516;26658,50256;27901,53883;28855,91411;29955,8634;30992,70625
3;AT125;Weinviertel;5257,864732;5667,445069;6231,182306;6543,97348;6972,545868;7285,321309;7708,631725;7877,925342;8553,973103;9297,319267;10245,25831;10615,10575;10879,95705;10809,06425;11420,00016;10430,91815;10983,52574;11588,12006;12540,27136;13048,19121;13521,37698;13360,81373;13709,48116;14149,30508;14903,27671;14756,47388;15541,47519;16706,9983;16819,98338;16145,99511;16531,62636;17598,40604;17641,27595;18398,57144;18765,83323;19852,6565;20470,68718;20723,52401;21754,54793;22453,33025;23322,05055;24090,94031
3;AT126;Wiener Umland/Nordteil;5093,473192;5526,722908;6146,821959;6518,773047;6990,206135;7359,091016;7837,137447;8072,513951;8822,780398;9645,323216;10662,84945;12491,29388;12884,78591;12900,93983;13790,68218;13022,72405;13751,26701;14736,13121;15320,83001;15781,89892;16861,27191;17181,1421;17790,99018;18170,60993;19791,82309;20021,00924;21330,78714;22338,88261;23545,07277;22037,68354;22606,2602;24140,73443;25357,24114;25589,22709;25638,19754;25514,12735;25257,68833;25418,03594;25892,40489;26380,52736;26787,16045;27255,83363
3;AT127;Wiener Umland/Südteil;8253,091551;9091,68737;10142,90372;10924,73296;11853,83872;12599,09951;13533,89588;14066,08052;15496,02166;17025,00262;18875,10993;20712,72885;21248,61069;21265,87273;22844,90667;22137,04215;23498,67154;25477,43514;27009,85841;28470,86562;32640,96621;30963,72377;32064,0069;32188,72612;34912,17701;35773,30968;37499,48891;39352,58864;38676,52404;36783,60578;37388,94001;38279,1474;39815,58517;39046,58784;40723,48448;43454,52955;42845,39627;43183,38066;44081,99147;44989,59422;45773,25975;46657,01319
