"","X","nuts_2","nuts_1","country","trade_center","num_trade_centers","capital","education","catholics","latitude","longitude","mountain","border_region","university_1500","coast_region","printingpress_pre1500","hanse","imperial","agri","altitude","dist_border","dist_coast","dist_trade","east_germany","bishop","mining","eqi100","residence","trade_year","Region","AREA","Year","AGSH","GDP","GDP_11","INDSH","POP","SERSH","GDP_ln","GDP_11_ln","POP_ln","AREA_ln","education_ln","catholics_ln","dist_border_ln","dist_coast_ln","dist_trade_ln","eqi100_ln","agri_ln","AGSH_ln","SERSH_ln","INDSH_ln"
"BE22.1900",11,"BE22","BRU","Belgium",0,0,0,28.6,73.6669998168945,50.9777323404948,5.44919983545939,0,1,0,0,0,0,0,1.51966666692993,53.5666669209798,0.18620441108942,1.03796182076136,0.443838159243266,0,0,0,81.5500030517578,0,0,"Limburg",2422,"1900",0.544,602,965,0.195,245,0.261,6.40025744530882,6.87212810133899,5.50125821054473,7.79234892411304,3.35340671782581,4.2995549352407,-1.68091022435844,0.0372590025271238,-0.812295289207309,4.40121636648894,0.418491012736432,-0.608806032126194,-1.34323487165944,-1.63475572041839
"BE23.1900",12,"BE23","BRU","Belgium",1,1,0,33.8,73.6669998168945,51.0409469604492,3.83994336922964,0,1,0,1,1,0,0,1.31400000666508,23.8833338419596,0.200145988414685,0.120569419736664,0,0,0,0,81.5500030517578,0,9,"East-Flanders",2982,"1900",0.361,3214,5152,0.364,1035,0.275,8.07527154629746,8.54714026778419,6.94215670569947,8.00034949532468,3.52046080248897,4.2995549352407,-1.60870823663882,-2.11552959453213,-Inf,4.40121636648894,0.273075925134778,-1.01887732064926,-1.29098418131557,-1.0106014113454
"BE25.1900",13,"BE25","BRU","Belgium",1,1,0,29.5,73.6669998168945,51.0023698806763,3.03980395197868,0,1,0,1,1,0,0,1.27674999747353,15.7374995825812,0.139936364255845,0.245725408196449,0,0,0,0,81.5500030517578,0,7,"West-Flanders",3144,"1900",0.419,2023,3244,0.267,807,0.315,7.61233683716775,8.0845624152353,6.69332366826995,8.0532511535491,3.38439026334577,4.2995549352407,-1.9665675007376,-1.40354059333864,-Inf,4.40121636648894,0.244317784566787,-0.869884359059999,-1.1551826401565,-1.32050662058189
"BE32.1900",14,"BE32","BRU","Belgium",0,0,0,24,73.6669998168945,50.5302467346191,3.80521249771118,0,1,0,0,0,0,0,1.60028572045421,78.8000011444092,0.132214054930955,0.523812672921589,0.644875100680761,0,1,0,60.8899993896484,1,0,"Hainaut",3786,"1900",0.178,5158,8268,0.571,1137,0.25,8.54830418644129,9.02014792080166,7.03614849375054,8.23906533176927,3.17805383034795,4.2995549352407,-2.02333304155034,-0.646621153001909,-0.438698623292875,4.10906894759664,0.470182188586949,-1.72597172869005,-1.38629436111989,-0.560366069326127
"BE33.1900",15,"BE33","BRU","Belgium",0,0,0,30.4,73.6669998168945,50.5199653625488,5.66163244247436,0,1,0,0,1,0,0,1.59760000415687,297.979998779297,0.272358354926109,1.35952700376511,0.500069928169251,0,1,0,60.8899993896484,0,0,"Liege",3862,"1900",0.157,3648,5847,0.559,837,0.285,8.20193435119422,8.67368398817567,6.72982407048948,8.25894046298846,3.41444260841218,4.2995549352407,-1.30063659845718,0.307136847905339,-0.693007334000429,4.10906894759664,0.468502505721415,-1.85150947363383,-1.25526609871349,-0.581605805827038
"BE34.1900",16,"BE34","BRU","Belgium",0,0,0,32.3,73.6669998168945,49.9162681579589,5.55554666519165,0,1,0,0,0,0,0,1.54160000307483,362.7,0.169587423652411,1.63044590950012,1.01410856246948,0,0,0,60.8899993896484,0,0,"Luxembourg (region)",4440,"1900",0.542,797,1278,0.206,220,0.252,6.68085467879022,7.15305163493748,5.39362754635236,8.39840965542627,3.47506723022861,4.2995549352407,-1.77438671136666,0.488853541517336,0.0140099630174642,4.10906894759664,0.43282084011259,-0.612489277542491,-1.37832619147071,-1.57987911019256
"BE35.1900",17,"BE35","BRU","Belgium",0,0,0,31.5,73.6669998168945,50.2297922770182,4.80121262868246,0,1,0,0,0,0,0,1.62500000047869,199.233337402344,0.175289615988732,0.945948680241904,1.09079678853353,0,0,0,60.8899993896484,0,0,"Namur",3666,"1900",0.319,1446,2318,0.39,351,0.291,7.27655640271871,7.7484600238997,5.86078622346587,8.20685642839965,3.44998754583159,4.2995549352407,-1.74131572446985,-0.055566960617547,0.0869084278462843,4.10906894759664,0.485507816076279,-1.14256417619729,-1.23443201181064,-0.941608539858445
"DE11.1900",18,"DE11","DE1","Germany",0,0,0,30.3,31.7900009155273,48.9588317871094,9.51223388084998,1,0,0,0,1,0,1,1.89715385881746,364.323071993314,1.14582917323479,4.26190319428077,0.779242378014785,0,0,0,83.9400024414062,1,0,"Stuttgart, Regierungsbezirk",10558,"1900",0.411,3974,4842,0.36,1313,0.23,8.28752842311176,8.485083137498,7.1800698743028,9.26463914538356,3.41114771251532,3.45915180372193,0.136128543686533,1.44971581973493,-0.249433141563425,4.43010228699058,0.640354794051628,-0.889162064485903,-1.46967597005894,-1.02165124753198
"DE12.1900",19,"DE12","DE1","Germany",0,0,0,29.3,31.7900009155273,49.025595664978,8.58567015329997,1,1,1,0,1,0,0,1.65550000630318,297.016665776571,0.480963324972739,4.22056625286738,0.840423703193664,0,0,0,83.9400024414062,0,0,"Karlsruhe, Regierungsbezirk",6919,"1900",0.339,3579,4360,0.4,840,0.261,8.18283871076603,8.38022733634308,6.73340189183736,8.84202652949881,3.37758751602302,3.45915180372193,-0.731964259241284,1.4399693021901,-0.173849105752129,4.43010228699058,0.504103081812582,-1.08175517160169,-1.34323487165944,-0.916290731874155
"DE13.1900",20,"DE13","DE1","Germany",1,1,0,27.2,31.7900009155273,47.9928050994873,8.2306670665741,1,1,0,0,1,0,1,1.53849999158819,571.440005493164,0.225971750915051,3.62353055477142,0,0,1,0,83.9400024414062,1,6,"Freiburg, Regierungsbezirk",9357,"1900",0.504,2779,3385,0.301,903,0.195,7.9298464297425,8.12710918534638,6.80572255341699,9.14388000527591,3.30321697330195,3.45915180372193,-1.4873452834736,1.28744884192337,-Inf,4.43010228699058,0.43080791031242,-0.685179010910768,-1.63475572041839,-1.20064501423326
"DE14.1900",21,"DE14","DE1","Germany",1,2,0,29.3,31.7900009155273,48.1818656921387,9.46944257948134,1,1,1,0,1,0,1,1.56499998263919,620.711113823785,0.545642007556227,3.7713606622484,0,0,0,0,83.9400024414062,1,13,"Tübingen, Regierungsbezirk",8918,"1900",0.532,2124,2588,0.309,799,0.159,7.66105638236183,7.85864065562079,6.68336094576627,9.09582698518742,3.37758751602302,3.45915180372193,-0.605792182095188,1.32743585471283,-Inf,4.43010228699058,0.447885812898947,-0.631111789640493,-1.83885107676191,-1.17441400208439
"DE21.1900",22,"DE21","DE2","Germany",0,0,0,33.4,31.7900009155273,48.1391304679539,11.6961159913436,1,1,1,0,1,0,0,1.70578261231772,548.565217391304,0.532675475610987,2.79858207702637,0.625518975050553,0,1,0,78.0899963378906,1,0,"Oberbayern, Regierungsbezirk",17530,"1900",0.396,3898,4748,0.291,1249,0.313,8.26821888006751,8.46547875572956,7.13009851012558,9.77166897791528,3.50855589998265,3.45915180372193,-0.629842904018365,1.02911288785483,-0.469173613723058,4.35786196077857,0.534024015579564,-0.926341067727656,-1.16155208844198,-1.23443201181064
"DE22.1900",23,"DE22","DE2","Germany",0,0,0,21.6,31.7900009155273,48.7065846125285,12.7744170824687,1,1,0,0,1,0,0,1.57016667645999,425.408335367839,0.403768515214324,3.03084087371826,0.665270000696182,0,1,0,78.0899963378906,0,0,"Niederbayern, Regierungsbezirk",10329,"1900",0.683,1426,1737,0.17,682,0.146,7.26262860097424,7.4599147662411,6.52502965784346,9.24271075200663,3.07269331469012,3.45915180372193,-0.906913547380749,1.10884009709945,-0.407562304644025,4.35786196077857,0.451181777075599,-0.381260419411347,-1.9241486572738,-1.77195684193188
"DE23.1900",24,"DE23","DE2","Germany",1,2,0,21.7,31.7900009155273,49.4028690338135,12.0908705711365,0,1,0,0,1,0,1,1.38549999297927,421.850003051758,0.494920188188552,3.83177170753479,0,0,1,0,78.0899963378906,1,13,"Oberpfalz, Regierungsbezirk",9690,"1900",0.629,1092,1330,0.217,557,0.153,6.99576615630485,7.1929342212158,6.32256523992728,9.17884970488481,3.07731226054641,3.45915180372193,-0.703358765396088,1.34332728305596,-Inf,4.35786196077857,0.326061080253606,-0.463624022281697,-1.8773173575897,-1.52785792544168
"DE24.1900",25,"DE24","DE2","Germany",0,0,0,25.2,31.7900009155273,50.0784058204064,11.3724228785588,1,1,0,0,1,0,0,1.31707691918165,439.830770639273,0.765744474071722,3.74931546357962,0.630286418474638,0,1,0,78.0899963378906,1,0,"Oberfranken, Regierungsbezirk",7232,"1900",0.477,1525,1858,0.358,674,0.166,7.32974968904151,7.52725591937378,6.51323011091231,8.88627090207201,3.22684399451738,3.45915180372193,-0.266906749656085,1.32157328027388,-0.461580930411176,4.35786196077857,0.275414825901243,-0.740238788093796,-1.79576749062559,-1.02722229258144
"DE25.1900",26,"DE25","DE2","Germany",1,1,0,26.7,31.7900009155273,49.3977632522583,10.8913815021515,0,0,0,0,1,0,1,1.48733333637888,356.066668192546,1.43662457664808,4.12320846319199,0,0,0,0,78.0899963378906,1,13,"Mittelfranken, Regierungsbezirk",7245,"1900",0.406,2381,2900,0.367,787,0.227,7.77527584648686,7.97246601597457,6.6682282484174,8.88806685475478,3.2846635654062,3.45915180372193,0.362296318021685,1.41663161349243,-Inf,4.35786196077857,0.396984809389887,-0.901402119380404,-1.48280526150073,-1.00239343092757
"DE26.1900",27,"DE26","DE2","Germany",0,0,0,26.1,31.7900009155273,49.9710048039754,9.90336219469707,0,0,0,0,1,0,1,1.6747500094916,249.433334350586,1.72111839056015,3.57535382111867,0.690613945325216,0,1,0,78.0899963378906,0,0,"Unterfranken, Regierungsbezirk",8531,"1900",0.58,1473,1795,0.221,657,0.199,7.29505641646263,7.49276030092238,6.48768401848461,9.05146186690869,3.26193531432865,3.45915180372193,0.542974306589188,1.27406414219096,-0.370174301173047,4.35786196077857,0.515663906073713,-0.544727175441672,-1.61445045425764,-1.50959257746438
"DE27.1900",28,"DE27","DE2","Germany",1,1,0,24,31.7900009155273,48.1286634717669,10.4726956912449,1,1,0,0,1,0,1,1.71257143022014,584.114288330078,0.586558607806053,3.3386709690094,0,0,1,0,78.0899963378906,1,13,"Schwaben, Regierungsbezirk",9994,"1900",0.512,2148,2617,0.284,754,0.204,7.67229245562876,7.86978390253015,6.62539236800796,9.20974019190415,3.17805383034795,3.45915180372193,-0.533482687823021,1.2055728143298,-Inf,4.35786196077857,0.537996001361815,-0.669430653942629,-1.58963528513792,-1.25878104082093
"DE30.1900",29,"DE30","DE3","Germany",1,1,1,35.4,31.7900009155273,52.5068702697754,13.4244012832642,0,0,0,0,0,1,0,1.24999999557394,37.2000007629395,0.774605810642242,1.57808065414429,0,0,0,0,83.9400024414062,0,6,"Berlin",892,"1900",0.095,11095,13517,0.468,2605,0.436,9.3142498353667,9.51170343148383,7.86518795418747,6.79346613258001,3.56671182013973,3.45915180372193,-0.255401010454999,0.456209332742553,-Inf,4.43010228699058,0.223143547773362,-2.3538783873816,-0.830113035633103,-0.75928698306449
"DE40.1900",30,"DE40","DE4","Germany",1,1,0,30.9222222222222,31.7900009155273,52.389845530192,13.4539355172051,0,1,1,0,0,1,0,1.35288888833786,62.7944451438056,0.793112312753995,1.66130958331956,0,1,1,1,83.8899993896484,1,10,"Brandenburg",29484,"1900",0.319,4755,5793,0.376,1729,0.305,8.46695197497949,8.66440557109662,7.45529848568329,10.2916030223092,3.43147509119563,3.45915180372193,-0.231790437169097,0.507606196960178,-Inf,4.42950640958258,0.302242223375813,-1.14256417619729,-1.18744350237473,-0.978166135592243
"DE50.1900",31,"DE50","DE5","Germany",1,2,0,23.8,31.7900009155273,53.3329734802246,8.66088676452636,0,0,0,1,0,1,0,1.38049999638941,4.19999990612269,0.220292617566884,0.219224324449897,0,0,1,0,83.3300018310547,0,10,"Bremen",419,"1900",0.067,981,1195,0.426,222,0.507,6.88857245956536,7.08590146436561,5.40267738187228,6.03787091992214,3.16968558067743,3.45915180372193,-1.51279853655293,-1.51765976085917,-Inf,4.42280865036765,0.32244574977265,-2.70306265959117,-0.679244275390954,-0.853315932712767
"DE60.1900",32,"DE60","DE6","Germany",1,1,0,29.5,31.7900009155273,53.5667304992676,10.0301208496094,0,0,0,0,1,1,1,1.29800000316949,8.30000019073486,0.751542270183563,0.198687940835953,0,0,1,0,83.5100021362305,0,8,"Hamburg",755,"1900",0.029,4251,5179,0.393,969,0.578,8.35490952835879,8.55236726642389,6.87626461189077,6.62671774924902,3.38439026334577,3.45915180372193,-0.285627823621701,-1.61601982157333,-Inf,4.42496641074567,0.260824620723724,-3.54045944899566,-0.54818141030976,-0.933945667112876
"DE71+DE72.1900",33,"DE71+DE72","DE7","Germany",1,1,0,28.0526315789474,31.7900009155273,50.1814482839484,8.66671968761243,1,0,0,0,1,1,1,1.50236841320165,226.078948171515,1.3140516500724,3.25649089562266,0,0,0,0,76.3099975585938,0,13,"Darmstadt and Giessen",12826,"1900",0.311,5171,6299,0.393,1791,0.296,8.55082137239622,8.74814616962193,7.49052940206071,9.45922963970881,3.33408244499941,3.45915180372193,0.273115226803141,1.18065020324505,-Inf,4.33480395930827,0.407042805024045,-1.1679623668029,-1.21739582465808,-0.933945667112876
"DE73.1900",34,"DE73","DE7","Germany",1,1,0,23,31.7900009155273,51.0936758858817,9.50636073521205,0,0,0,0,0,0,0,1.40385711952866,246.657141549246,2.28990939685277,2.44293005125863,0,0,0,0,76.3099975585938,0,6,"Kassel, Regierungsbezirk",8289,"1900",0.464,1924,2345,0.305,709,0.231,7.56216163122565,7.76004068088038,6.56385552653213,9.02268461359153,3.13549421592915,3.45915180372193,0.828512252090332,0.8931981595524,-Inf,4.33480395930827,0.339223533707557,-0.767870726755882,-1.46533756846034,-1.18744350237473
"DE80.1900",35,"DE80","DE8","Germany",1,4,0,26.5,31.7900009155273,53.8333740234375,12.5655313597785,0,1,1,1,1,1,0,1.63961112058635,34.4500000609292,0.289506192008654,0.328584363891019,0,1,1,0,83.25,1,9,"Mecklenburg-Vorpommern",23194,"1900",0.472,2910,3545,0.257,1357,0.271,7.97590836016554,8.17329343896623,7.21303165983487,10.0516489035166,3.27714473299218,3.45915180372193,-1.23957859356689,-1.11296165853115,-Inf,4.42184812886055,0.494459092124648,-0.750776293396582,-1.30563645810244,-1.35867919408692
"DE91+DE92.1900",36,"DE91+DE92","DE9","Germany",1,4,0,22.5611111111111,31.7900009155273,52.1651123894585,10.0184534920586,0,0,0,0,1,1,1,1.50033332819124,189.561112933689,1.73528274562624,1.48011925154262,0,0,1,1,82.9899978637695,0,13,"Statistische Regionen Braunschweig und Hannover",17148,"1900",0.343,4348,5297,0.391,1676,0.266,8.3774712482411,8.57489590154453,7.42416528104203,9.74963682771787,3.11622767679609,3.45915180372193,0.551170365900155,0.392122659896638,-Inf,4.41872009286954,0.405687302215385,-1.0700248318162,-1.32425897020044,-0.939047718996771
"DE93.1900",37,"DE93","DE9","Germany",1,1,0,20.3,31.7900009155273,53.1696922995828,9.79724303158846,0,0,0,1,1,1,1,1.26109090744232,36.3454548662359,0.809581883928992,0.560459947044199,0,0,1,0,82.9899978637695,1,7,"Statistische Region Lüneburg",15495,"1900",0.541,2165,2638,0.259,808,0.2,7.68017564043659,7.87777633327726,6.69456205852109,9.64827267022185,3.01062088604774,3.45915180372193,-0.211237357269216,-0.578997498355646,-Inf,4.41872009286954,0.231977145932543,-0.614336000135655,-1.6094379124341,-1.3509272172826
"DE94.1900",38,"DE94","DE9","Germany",1,1,0,21,31.7900009155273,53.0488267786363,7.90258177588968,0,1,0,1,0,1,0,1.20147058581821,19.9882352878066,0.350303253487629,0.416502048425815,0,0,1,0,82.9899978637695,0,7,"Statistische Region Weser-Ems",14971,"1900",0.517,2373,2891,0.261,883,0.222,7.77191025643576,7.96935774201635,6.78332520060396,9.61387027544984,3.04452243772342,3.45915180372193,-1.04895606110379,-0.875863899198102,-Inf,4.41872009286954,0.183546294678079,-0.659712404473708,-1.50507789710986,-1.34323487165944
"DEA1.1900",39,"DEA1","DEA","Germany",0,0,0,23.1,31.7900009155273,51.3391367594401,6.77312278747559,0,1,0,0,0,1,1,1.62766667642916,104.339999516805,0.486266326904297,1.92579699357351,0.46777974764506,0,0,1,78.1399993896484,0,0,"Düsseldorf, Regierungsbezirk",5291,"1900",0.127,8187,9974,0.613,2518,0.26,9.01030280937645,9.20773698610607,7.83122021460429,8.57376254290413,3.13983261752775,3.45915180372193,-0.720998807432108,0.655339904691615,-0.759757718533091,4.35850208181592,0.487147502409259,-2.06356819252355,-1.34707364796661,-0.489390343045926
"DEA2.1900",40,"DEA2","DEA","Germany",1,2,0,27.5,31.7900009155273,50.8593031565348,6.78393097718557,0,1,1,0,1,1,1,1.54099997932353,168.966668446859,0.564216360760232,2.15730868776639,0,0,1,1,78.1399993896484,1,13,"Köln, Regierungsbezirk",7365,"1900",0.253,5332,6496,0.457,1558,0.29,8.5814816812986,8.77894188184151,7.35115822643069,8.90449432889673,3.31418600467253,3.45915180372193,-0.572317482677586,0.768861466934317,-Inf,4.35850208181592,0.432431542920412,-1.37436579025462,-1.23787435600162,-0.783071888087932
"DEA3.1900",41,"DEA3","DEA","Germany",1,1,0,21.4,31.7900009155273,51.8392271995545,7.31764763593674,0,1,0,0,1,1,0,1.32750001309316,59.0125007629395,0.487748082377948,1.44732029736042,0,0,1,1,78.1399993896484,0,8,"Münster, Regierungsbezirk",6911,"1900",0.352,2373,2891,0.443,729,0.205,7.77191025643576,7.96935774201635,6.59167373200866,8.8408696240914,3.06339092202781,3.45915180372193,-0.717956231054153,0.369713775856885,-Inf,4.35850208181592,0.283297483996978,-1.04412410338404,-1.58474529984373,-0.814185508937001
"DEA4.1900",42,"DEA4","DEA","Germany",1,2,0,20.7,31.7900009155273,51.9688415527344,8.74054118565151,0,0,0,0,0,1,1,1.60928572322169,125.057144165039,1.49966471535819,1.52042777197702,0,0,1,0,78.1399993896484,1,7,"Detmold, Regierungsbezirk",6523,"1900",0.411,2122,2585,0.368,760,0.221,7.66011431917393,7.85748078694253,6.63331843328038,8.7830896717961,3.03013370027132,3.45915180372193,0.405241560028614,0.418991724196741,-Inf,4.35850208181592,0.475790430381653,-0.889162064485903,-1.50959257746438,-0.999672340813206
"DEA5.1900",43,"DEA5","DEA","Germany",1,2,0,20.1,31.7900009155273,51.3822682698568,7.72043498357137,0,0,0,0,1,1,1,1.38325001270345,224.074997901916,1.0628278652827,1.92924536267917,0,0,0,1,78.1399993896484,1,8,"Arnsberg, Regierungsbezirk",8008,"1900",0.151,5097,6209,0.632,1721,0.217,8.53640741034004,8.73375513136489,7.45066079621154,8.98819632099506,3.00071981506503,3.45915180372193,0.0609331533052996,0.657128922661703,-Inf,4.35850208181592,0.324435811979852,-1.89047544216721,-1.52785792544168,-0.45886588483528
"DEB1.1900",44,"DEB1","DEB","Germany",0,0,0,19.6,31.7900009155273,50.2691424976696,7.50014595551924,1,0,0,0,0,0,0,1.21899999661035,312.454541986639,0.964634310115466,2.9368015202609,0.814672914418307,0,0,0,80.5800018310547,1,0,"Statistische Region Koblenz",8073,"1900",0.481,2712,3304,0.3,883,0.218,7.90544164906029,8.10288913464087,6.78332520060396,8.99628043939502,2.97552956623647,3.45915180372193,-0.0360062027123002,1.07732107085934,-0.204968578298593,4.38925050248664,0.198030847718454,-0.731888008876376,-1.52326021619305,-1.20397280432594
"DEB2.1900",45,"DEB2","DEB","Germany",0,0,0,25.7,31.7900009155273,49.9390785217285,6.69565687179565,1,1,0,0,1,0,0,1.22180000834998,361.059997558594,0.267647802829742,2.54572749137878,0.77951009273529,0,1,0,80.5800018310547,0,0,"Statistische Region Trier",4924,"1900",0.649,987,1203,0.197,352,0.154,6.89467003943348,7.09257371597468,5.8636311755981,8.50187648730434,3.24649099190117,3.45915180372193,-1.31808333129379,0.934416460384191,-0.249089642864098,4.38925050248664,0.200325188067692,-0.432322562278047,-1.87080267656851,-1.62455155024415
"DEB3.1900",46,"DEB3","DEB","Germany",0,0,0,25.3,31.7900009155273,49.4526330947876,8.02260317802429,0,1,1,0,1,1,1,1.63189999541502,230.369996643066,0.421920705586672,3.78404855728149,0.727006298303604,0,1,0,80.5800018310547,1,0,"Statistische Region Rheinhessen-Pfalz",6851,"1900",0.379,2785,3393,0.373,1060,0.248,7.93200315236138,8.12946976478423,6.96602418710611,8.8321499060029,3.23080439573347,3.45915180372193,-0.862937884055199,1.33079448336985,-0.318820138069908,4.38925050248664,0.489744977345156,-0.970219073899711,-1.39432653281715,-0.986176859338322
"DEC0.1900",47,"DEC0","DEC","Germany",0,0,0,19.7,31.7900009155273,49.37424659729,6.96450551350911,0,1,0,0,0,0,0,1.4633333582101,274.566670735677,0.157424807858964,3.05937242507934,0.451576987902323,0,0,1,85.4800033569336,0,0,"Saarland",2569,"1900",0.229,1590,1937,0.561,543,0.21,7.37148929521428,7.568895663407,6.29710931993394,7.85127199710988,2.98061863574394,3.45915180372193,-1.84880734513236,1.11820980508714,-0.795009404820024,4.44828246972251,0.380716955419038,-1.4740332754279,-1.56064774826467,-0.578034373459441
"DED2.1900",48,"DED2","DED","Germany",1,1,0,33.8,31.7900009155273,51.1596027721058,14.1522254076871,0,1,0,0,1,0,0,1.37981818371971,208.809089660644,0.249204933643341,2.79446619207209,0,1,0,1,86.4400024414062,1,7,"Dresden, NUTS 2-Region",7931,"1900",0.108,4369,5323,0.7,1502,0.192,8.38228942895144,8.57979233317276,7.31455283232408,8.97853441008332,3.52046080248897,3.45915180372193,-1.38947969433809,1.02764110163049,-Inf,4.45945055988263,0.321951739561451,-2.22562405185792,-1.65025990695436,-0.356674943938732
